iter	Logloss
0	0.6296521476
1	0.5781159528
2	0.5335681975
3	0.4962561601
4	0.4643533545
5	0.4368364886
6	0.4145162338
7	0.3944433049
8	0.3777919302
9	0.3624685661
10	0.3488864252
11	0.3379883922
12	0.3282583166
13	0.3201698187
14	0.3117117265
15	0.3049092432
16	0.299360873
17	0.2931312732
18	0.2880635162
19	0.2841387149
20	0.2796452479
21	0.2759480894
22	0.2732394582
23	0.2698822625
24	0.2671360871
25	0.2645980223
26	0.2623821928
27	0.261204413
28	0.2596340501
29	0.2582690103
30	0.2571397685
31	0.2553836576
32	0.2543757962
33	0.2528575037
34	0.2517527385
35	0.2503535652
36	0.249481557
37	0.2485822035
38	0.248096794
39	0.246894917
40	0.2462996373
41	0.2454078361
42	0.2444167083
43	0.2435369819
44	0.2427909754
45	0.2419590478
46	0.2414183924
47	0.2403853303
48	0.239470901
49	0.2389250358
50	0.2382365764
51	0.2377823016
52	0.2370696839
53	0.2366012214
54	0.2362935191
55	0.2353918193
56	0.234917607
57	0.2337407979
58	0.2332201324
59	0.2323340827
60	0.2317726588
61	0.231366675
62	0.2306532412
63	0.2303840466
64	0.2295983999
65	0.2291748288
66	0.2285033433
67	0.2280369218
68	0.2274816744
69	0.2269028733
70	0.2262170217
71	0.2261251429
72	0.2260974329
73	0.2258748872
74	0.2255431635
75	0.2244735292
76	0.2237393925
77	0.2232334183
78	0.2223581397
79	0.2214862512
80	0.2211513629
81	0.2205776985
82	0.2203142331
83	0.2198851515
84	0.2195843348
85	0.2190070416
86	0.2185476626
87	0.2180550559
88	0.217790031
89	0.2171658306
90	0.2166723743
91	0.2164443195
92	0.2159898007
93	0.215461468
94	0.2152193909
95	0.2147091255
96	0.2143873209
97	0.2139606086
98	0.2135864649
99	0.2129797711
