iter	Passed	Remaining
0	2	209
1	7	352
2	12	405
3	16	387
4	20	398
5	25	393
6	30	401
7	31	361
8	36	366
9	39	353
10	46	374
11	51	374
12	56	375
13	62	381
14	67	384
15	73	385
16	74	363
17	81	369
18	88	376
19	93	373
20	102	386
21	107	382
22	109	366
23	115	365
24	120	360
25	125	355
26	129	351
27	132	340
28	136	334
29	141	329
30	147	329
31	154	329
32	159	324
33	164	319
34	169	315
35	174	311
36	180	306
37	185	302
38	188	294
39	193	289
40	197	284
41	202	279
42	207	274
43	211	269
44	216	264
45	222	260
46	227	257
47	232	252
48	237	247
49	243	243
50	248	238
51	253	234
52	258	229
53	264	225
54	269	220
55	275	216
56	281	212
57	287	208
58	292	203
59	297	198
60	302	193
61	307	188
62	312	183
63	316	178
64	321	173
65	326	168
66	332	163
67	337	158
68	342	154
69	347	149
70	352	144
71	357	139
72	359	133
73	364	128
74	368	122
75	373	118
76	378	113
77	383	108
78	388	103
79	393	98
80	398	93
81	403	88
82	408	83
83	413	78
84	419	73
85	424	69
86	429	64
87	433	59
88	438	54
89	442	49
90	447	44
91	452	39
92	456	34
93	461	29
94	465	24
95	470	19
96	475	14
97	479	9
98	485	4
99	489	0
